,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_tax_rate
14,Burkina Faso,30.0,30.0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,28.0,28.0,28.0,28.0,27.5,27.966666666666665
83,Jamaica,33.33,33.33,33.33,33.33,33.33,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.776666666666664
99,Luxembourg,29.63,28.59,28.59,28.8,28.8,29.22,29.22,29.22,29.22,27.08,26.01,24.94,24.94,24.94,24.94,27.60933333333333
68,Guatemala,31.0,31.0,31.0,31.0,31.0,31.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.6
49,Spain,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.533333333333335
44,Dominica,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.533333333333335
28,Canada,31.4,30.9,29.4,27.7,26.1,26.2,26.2,26.7,26.7,26.7,26.8,26.62,26.47,26.15,26.21,27.349999999999998
15,Bangladesh,30.0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,25.0,25.0,25.0,25.0,25.0,32.5,30.0,27.333333333333332
46,Dominican Republic,25.0,25.0,25.0,29.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.066666666666666
92,Liberia,35.0,35.0,35.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27.0
154,Trinidad and Tobago,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,27.0
169,Samoa,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
0,Aruba,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.6
173,Zimbabwe,30.9,30.9,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,24.72,24.72,24.72,26.230666666666668
54,Falkland Islands (Malvinas),26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
126,Panama,30.0,30.0,27.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.833333333333332
39,Curacao,30.0,30.0,30.0,34.5,27.5,27.5,27.5,25.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,25.733333333333334
155,Tunisia,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,15.0,15.0,25.666666666666668
89,Republic of Korea,27.5,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,27.5,27.5,27.5,27.5,27.5,25.519999999999996
122,Norway,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,25.0,24.0,23.0,22.0,22.0,22.0,22.0,25.466666666666665
121,Netherlands,25.5,25.5,25.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.8,25.153333333333332
74,Indonesia,30.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.0,22.0,25.133333333333333
31,China,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
113,Mauritania,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
97,Lesotho,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
32,Cote d'Ivoire,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
61,Ghana,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
161,Uruguay,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
11,Austria,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
78,Iran (Islamic Republic of),25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
9,Antigua and Barbuda,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
